account_id,customer_id,account_type,balance,account_open_date
ACC_0001,CID_0001,Saving,207192.5,28-09-2018
ACC_0002,CID_0001,Current,221371.83,28-09-2018
ACC_0003,CID_0001,Demat,163023.42,28-09-2018
ACC_0004,CID_0002,Saving,191252.3,03-08-2018
ACC_0005,CID_0002,Current,910044.45,03-08-2018
ACC_0006,CID_0002,Demat,1616112.01,03-08-2018
ACC_0007,CID_0003,Recurring Deposit,404595.52,19-07-2019
ACC_0008,CID_0004,Saving,34587.7,22-02-2024
ACC_0009,CID_0005,Saving,154623.49,17-04-2021
ACC_0010,CID_0006,Saving,80500.61,20-12-2018
ACC_0011,CID_0007,Saving,243096.98,03-04-2018
ACC_0012,CID_0008,Recurring Deposit,363826.43,22-10-2018
ACC_0013,CID_0009,Saving,54688.43,19-05-2018
ACC_0014,CID_0010,Saving,199965.86,16-08-2022
ACC_0015,CID_0010,Current,997965.48,16-08-2022
ACC_0016,CID_0010,Demat,930050.51,16-08-2022
ACC_0017,CID_0011,Saving,210964.8,06-02-2021
ACC_0018,CID_0012,Recurring Deposit,36620.96,29-03-2018
ACC_0019,CID_0013,Fixed Deposit,1257896.54,24-04-2018
ACC_0020,CID_0014,Recurring Deposit,357626.58,27-09-2018
ACC_0021,CID_0015,Recurring Deposit,17721.64,18-07-2018
ACC_0022,CID_0016,Recurring Deposit,105015.12,09-09-2018
ACC_0023,CID_0017,Fixed Deposit,801471.07,01-01-2018
ACC_0024,CID_0018,Saving,30974.31,07-09-2018
ACC_0025,CID_0018,Current,481748.36,07-09-2018
ACC_0026,CID_0018,Demat,601132.1,07-09-2018
ACC_0027,CID_0019,Saving,243331.88,16-05-2024
ACC_0028,CID_0020,Saving,81466.12,27-09-2018
ACC_0029,CID_0020,Current,168193,27-09-2018
ACC_0030,CID_0020,Demat,555819.59,27-09-2018
ACC_0031,CID_0021,Saving,2728,12-03-2018
ACC_0032,CID_0022,Saving,172842.48,29-07-2022
ACC_0033,CID_0022,Current,688718.13,29-07-2022
ACC_0034,CID_0022,Demat,314208.93,29-07-2022
ACC_0035,CID_0023,Saving,125229.84,15-07-2018
ACC_0036,CID_0023,Current,686258.7,15-07-2018
ACC_0037,CID_0023,Demat,680152.08,15-07-2018
ACC_0038,CID_0024,Saving,38902.65,05-05-2018
ACC_0039,CID_0025,Recurring Deposit,159053.04,28-10-2018
ACC_0040,CID_0026,Saving,223003.09,21-12-2021
ACC_0041,CID_0027,Saving,181237.59,17-06-2020
ACC_0042,CID_0028,Saving,176803.18,20-11-2018
ACC_0043,CID_0028,Current,559465.77,20-11-2018
ACC_0044,CID_0028,Demat,1087754.48,20-11-2018
ACC_0045,CID_0029,Saving,87242.34,17-09-2018
ACC_0046,CID_0030,Saving,207921.72,17-06-2024
ACC_0047,CID_0030,Current,914559.53,17-06-2024
ACC_0048,CID_0030,Demat,1111268.02,17-06-2024
ACC_0049,CID_0031,Saving,112621.36,01-09-2018
ACC_0050,CID_0032,Saving,194091.52,27-03-2018
ACC_0051,CID_0033,Saving,5170.6,16-06-2021
ACC_0052,CID_0034,Saving,80513.18,11-05-2018
ACC_0053,CID_0034,Current,64278.41,11-05-2018
ACC_0054,CID_0034,Demat,1934490.5,11-05-2018
ACC_0055,CID_0035,Saving,170964.43,03-10-2018
ACC_0056,CID_0035,Current,765968.36,03-10-2018
ACC_0057,CID_0035,Demat,312492.37,03-10-2018
ACC_0058,CID_0036,Saving,160405.53,12-03-2018
ACC_0059,CID_0036,Current,111353.67,12-03-2018
ACC_0060,CID_0036,Demat,1048785.08,12-03-2018
ACC_0061,CID_0037,Saving,234480.98,12-08-2025
ACC_0062,CID_0038,Saving,27210.26,14-07-2018
ACC_0063,CID_0038,Current,192425.02,14-07-2018
ACC_0064,CID_0038,Demat,68475.21,14-07-2018
ACC_0065,CID_0039,Saving,122732.45,04-10-2019
ACC_0066,CID_0039,Current,624346.51,04-10-2019
ACC_0067,CID_0039,Demat,1182650.32,04-10-2019
ACC_0068,CID_0040,Saving,151685.43,14-12-2018
ACC_0069,CID_0040,Current,71803.09,14-12-2018
ACC_0070,CID_0040,Demat,1860771.02,14-12-2018
ACC_0071,CID_0041,Recurring Deposit,416206.77,09-01-2018
ACC_0072,CID_0042,Saving,90551.05,13-05-2018
ACC_0073,CID_0042,Current,743733.96,13-05-2018
ACC_0074,CID_0042,Demat,1781409.07,13-05-2018
ACC_0075,CID_0043,Recurring Deposit,133642,23-04-2018
ACC_0076,CID_0044,Saving,76324.18,19-09-2023
ACC_0077,CID_0044,Current,944658.88,19-09-2023
ACC_0078,CID_0044,Demat,1921370.56,19-09-2023
ACC_0079,CID_0045,Saving,58138.99,07-04-2021
ACC_0080,CID_0045,Current,385945.76,07-04-2021
ACC_0081,CID_0045,Demat,390273.3,07-04-2021
ACC_0082,CID_0046,Recurring Deposit,90270.05,14-10-2018
ACC_0083,CID_0047,Saving,26825.79,26-09-2021
ACC_0084,CID_0047,Current,638985.68,26-09-2021
ACC_0085,CID_0047,Demat,719136.91,26-09-2021
ACC_0086,CID_0048,Saving,26473.55,03-12-2019
