complaint_id,customer_id,complaint_type,complaint_date,status
COMP_001,CID_2733,,45857,Open
COMP_002,CID_1547,Staff Behavior,45996,In Progress
COMP_003,CID_2402,Online Banking,44817,In Progress
COMP_004,CID_3145,Staff Behavior,45478,Closed
COMP_005,CID_1897,Cash Deposit,45900,Open
COMP_006,CID_647,Cash Deposit,44962,Closed
COMP_007,CID_3054,Cheque Clearance,45319,Resolved
COMP_008,CID_3485,Online Banking,45152,Pending
COMP_009,CID_659,Charges/Fees,44937,Closed
COMP_010,CID_2681,Cheque Clearance,45994,Resolved
COMP_011,CID_108,Account Statement,44845,Pending
COMP_012,CID_3693,Staff Behavior,45841,Resolved
COMP_013,CID_3274,Staff Behavior,44690,In Progress
COMP_014,CID_4527,Online Banking,44856,In Progress
COMP_015,CID_4753,ATM Issue,45032,In Progress
COMP_016,CID_852,Transaction Failed,46043,Open
COMP_017,CID_1324,Card Issue,44617,Pending
COMP_018,CID_4485,Staff Behavior,45835,
COMP_019,CID_2175,ATM Issue,46076,In Progress
COMP_020,CID_450,Charges/Fees,46078,Closed
COMP_021,CID_112,Transaction Failed,45013,Resolved
COMP_022,CID_4033,ATM Issue,45821,Resolved
COMP_023,CID_1200,Cash Deposit,45158,Closed
COMP_024,CID_2570,Account Statement,45999,In Progress
COMP_025,CID_3296,ATM Issue,45585,Closed
COMP_026,CID_2610,Cheque Clearance,46024,Closed
COMP_027,CID_3874,Cheque Clearance,45960,Open
COMP_028,CID_443,Staff Behavior,45674,Open
COMP_029,CID_4250,Loan Service,45784,In Progress
COMP_030,CID_2685,Online Banking,45981,Open
COMP_031,CID_1016,Fraud/Unauthorized,45899,Open
COMP_032,CID_1596,Cheque Clearance,46059,Resolved
COMP_033,CID_1583,Cash Deposit,43789,Escalated
COMP_034,CID_3127,Online Banking,45616,Resolved
COMP_035,CID_461,KYC/Documentation,45943,Resolved
COMP_036,CID_1133,Charges/Fees,45666,Resolved
COMP_037,CID_2472,Transaction Failed,44686,Closed
COMP_038,CID_4022,Cash Deposit,46051,Pending
COMP_039,CID_1006,Cheque Clearance,46074,
COMP_040,CID_3805,Transaction Failed,45022,Closed
COMP_041,CID_2296,Loan Service,45549,Closed
COMP_042,CID_3724,Cash Deposit,46015,In Progress
COMP_043,CID_2923,Transaction Failed,44352,In Progress
COMP_044,CID_3526,Online Banking,43703,Pending
COMP_045,CID_129,Cash Deposit,43354,In Progress
COMP_046,CID_1081,Account Statement,45287,In Progress
COMP_047,CID_624,Loan Service,46039,Resolved
COMP_048,CID_2763,Account Statement,45944,Open
COMP_049,CID_071,Fraud/Unauthorized,45320,In Progress
COMP_050,CID_3364,Cash Deposit,45636,Open
