payment_id,loan_id,payment_amount,payment_date
1,LON_001,"28,245.74",2020-08-10
2,LON_001,"28,245.74",2020-09-11
3,LON_001,"28,245.74",2020-10-09
4,LON_002,"17,208.02",2019-06-14
5,LON_002,"17,208.02",2019-07-15
6,LON_002,"17,044.36",2019-08-16
7,LON_003,"12,234.17",2021-04-24
8,LON_004,"13,315.95",2019-03-02
9,LON_004,"13,315.95",2019-04-02
10,LON_005,"27,512.95",2022-11-07
11,LON_005,"27,512.95",2023-01-07
12,LON_005,"27,512.95",2023-03-08
13,LON_005,"27,512.95",2023-05-07
14,LON_006,"13,062.93",2022-02-01
15,LON_006,"12,855.73",2022-03-02
16,LON_006,"12,748.95",2022-03-30
17,LON_010,"7,555.85",2023-03-19
18,LON_010,"7,555.85",2023-04-18
19,LON_011,"32,829.54",2019-11-21
20,LON_011,"32,829.54",2019-12-19
21,LON_012,"74,073.56",2025-05-01
22,LON_012,"74,073.56",2025-05-27
23,LON_013,"20,911.39",2019-06-05
24,LON_013,"20,911.39",2019-07-07
25,LON_013,"20,911.39",2019-08-07
26,LON_016,"16,026.75",2025-08-11
27,LON_018,"44,072.47",2020-11-23
28,LON_018,"44,072.47",2020-12-22
29,LON_018,"44,072.47",2021-01-19
30,LON_018,"44,072.47",2021-02-16
31,LON_022,"48,396.64",2021-02-01
32,LON_022,"48,396.64",2021-04-01
33,LON_022,"48,396.64",2021-06-02
34,LON_022,"48,237.55",2021-07-30
35,LON_023,"45,250.07",2025-11-21
36,LON_023,"45,250.07",2025-12-22
37,LON_023,"45,250.07",2026-01-21
38,LON_023,"45,250.07",2026-02-22
39,LON_026,"19,359.02",2024-07-24
40,LON_026,"19,359.02",2024-08-20
41,LON_027,"24,188.94",2025-03-21
42,LON_027,"23,617.94",2025-04-21
43,LON_027,"24,188.94",2025-05-21
44,LON_027,"24,188.94",2025-06-21
45,LON_027,"24,188.94",2025-07-21
46,LON_029,"25,700.58",2024-01-08
47,LON_029,"25,700.58",2024-02-06
48,LON_030,"5,132.22",2025-09-01
49,LON_030,"5,132.22",2025-10-01
50,LON_030,"5,132.22",2025-10-29
51,LON_031,"28,506.43",2019-10-01
52,LON_031,"28,506.43",2019-10-28
53,LON_031,"28,506.43",2019-11-27
54,LON_031,"28,506.43",2019-12-24
55,LON_032,"61,948.14",2021-10-07
56,LON_032,"61,948.14",2021-11-05
57,LON_033,"28,111.00",2025-06-13
58,LON_033,"27,772.86",2025-07-12
59,LON_033,"28,111.00",2025-08-12
60,LON_033,"28,111.00",2025-09-09
61,LON_033,"28,111.00",2025-10-11
62,LON_033,"28,111.00",2025-11-10
63,LON_034,"47,166.22",2020-02-26
64,LON_035,"27,805.99",2020-03-14
65,LON_035,"28,635.24",2020-04-13
66,LON_035,"28,635.24",2020-05-12
67,LON_035,"28,635.24",2020-06-12
68,LON_036,"98,454.08",2021-03-11
69,LON_036,"98,454.08",2021-04-10
70,LON_036,"98,454.08",2021-05-08
71,LON_036,"98,454.08",2021-06-03
72,LON_036,"98,454.08",2021-07-02
73,LON_037,"36,326.49",2021-11-23
74,LON_037,"36,326.49",2021-12-21
75,LON_037,"36,326.49",2022-01-19
76,LON_037,"36,326.49",2022-02-16
77,LON_038,"50,167.47",2025-02-16
78,LON_038,"50,167.47",2025-03-16
79,LON_038,"50,167.47",2025-04-13
80,LON_038,"50,167.47",2025-05-09
81,LON_038,"50,167.47",2025-06-07
82,LON_038,"48,682.63",2025-07-05
83,LON_039,"63,328.73",2024-07-20
84,LON_039,"63,328.73",2024-08-21
85,LON_039,"62,353.32",2024-09-20
86,LON_039,"63,328.73",2024-10-20
87,LON_039,"61,895.77",2024-11-22
88,LON_041,"68,450.51",2025-04-14
89,LON_041,"68,450.51",2025-05-14
90,LON_041,"68,450.51",2025-06-13
91,LON_042,"11,366.30",2025-03-02
92,LON_042,"11,366.30",2025-03-30
93,LON_043,"27,504.89",2025-01-17
94,LON_043,"27,504.89",2025-02-17
95,LON_043,"26,687.61",2025-03-20
96,LON_044,"80,173.86",2025-09-22
97,LON_044,"80,173.86",2025-10-19
98,LON_044,"80,173.86",2025-11-15
99,LON_044,"80,173.86",2025-12-15
100,LON_046,"59,489.98",2025-08-24
101,LON_046,"58,236.92",2025-09-24
102,LON_046,"59,489.98",2025-10-25
103,LON_046,"59,489.98",2025-11-22
104,LON_047,"34,508.23",2021-09-23
105,LON_047,"33,879.60",2021-10-22
106,LON_047,"34,508.23",2021-11-22
107,LON_048,"7,265.35",2019-11-28
108,LON_048,"7,265.35",2019-12-29
109,LON_048,"7,265.35",2020-01-28
110,LON_048,"7,265.35",2020-02-27
111,LON_051,"7,546.45",2025-12-07
112,LON_051,"7,546.45",2026-01-04
113,LON_055,"27,920.42",2026-03-28
114,LON_055,"27,920.42",2026-04-24
115,LON_055,"27,920.42",2026-05-23
116,LON_055,"27,920.42",2026-06-21
117,LON_056,"15,039.54",2026-03-19
118,LON_057,"37,365.18",2019-03-13
119,LON_057,"37,365.18",2019-04-08
120,LON_057,"37,365.18",2019-05-06
121,LON_057,"37,365.18",2019-06-03
122,LON_057,"37,365.18",2019-07-01
123,LON_057,"37,365.18",2019-07-29
124,LON_058,"25,362.93",2019-07-02
125,LON_058,"25,362.93",2019-07-28
126,LON_058,"25,362.93",2019-08-26
127,LON_059,"19,093.83",2023-02-28
128,LON_059,"19,093.83",2023-04-01
129,LON_059,"19,093.83",2023-04-30
130,LON_060,"15,325.71",2025-05-12
131,LON_060,"15,286.60",2025-06-08
132,LON_060,"15,325.71",2025-07-07
133,LON_060,"15,325.71",2025-08-04
134,LON_060,"15,325.71",2025-08-30
135,LON_060,"14,951.58",2025-09-29
136,LON_061,"70,019.74",2020-11-17
137,LON_061,"70,019.74",2020-12-17
138,LON_061,"70,019.74",2021-01-17
139,LON_061,"69,272.48",2021-02-16
140,LON_061,"70,019.74",2021-03-17
141,LON_062,"3,067.84",2023-09-21
142,LON_062,"3,157.14",2023-10-19
143,LON_062,"3,067.84",2023-11-17
144,LON_063,"8,592.05",2019-07-08
145,LON_063,"8,592.05",2019-08-05
146,LON_063,"8,592.05",2019-09-03
147,LON_064,"10,873.11",2021-08-19
148,LON_064,"10,873.11",2021-09-16
149,LON_064,"10,873.11",2021-10-15
150,LON_064,"10,721.74",2021-11-11
151,LON_065,"62,940.51",2019-11-07
152,LON_065,"62,940.51",2019-12-05
153,LON_067,"6,771.69",2022-01-10
154,LON_067,"6,943.90",2022-02-08
155,LON_068,"24,730.50",2023-12-13
156,LON_068,"24,730.50",2024-01-09
157,LON_069,"15,732.82",2023-12-08
158,LON_069,"16,014.04",2024-01-04
159,LON_069,"16,014.04",2024-02-02
160,LON_069,"16,014.04",2024-02-29
161,LON_070,"37,580.08",2021-04-30
162,LON_070,"37,580.08",2021-05-28
163,LON_070,"36,506.98",2021-06-26
164,LON_070,"37,580.08",2021-07-22
165,LON_071,"4,659.99",2022-07-30
166,LON_071,"4,659.99",2022-08-27
167,LON_071,"4,659.99",2022-09-23
168,LON_073,"45,769.55",2023-04-19
169,LON_073,"46,708.13",2023-06-19
170,LON_073,"46,261.28",2023-08-18
171,LON_073,"45,902.33",2023-10-17
172,LON_073,"46,261.28",2023-12-16
173,LON_073,"46,261.28",2024-02-14
174,LON_074,"31,638.50",2022-06-19
175,LON_074,"31,638.50",2022-07-18
176,LON_074,"31,638.50",2022-08-15
177,LON_075,"17,152.25",2024-04-20
178,LON_075,"17,601.90",2024-05-19
179,LON_075,"17,601.90",2024-06-17
180,LON_075,"17,601.90",2024-07-18
181,LON_075,"17,601.90",2024-08-18
182,LON_075,"17,601.90",2024-09-17
183,LON_076,"27,511.65",2020-12-21
184,LON_077,"18,396.11",2021-10-05
185,LON_077,"18,396.11",2021-11-03
186,LON_077,"18,396.11",2021-12-03
187,LON_077,"18,396.11",2022-01-01
188,LON_078,"41,324.63",2024-05-17
189,LON_078,"41,324.63",2024-06-15
190,LON_079,"17,455.98",2023-05-28
191,LON_080,"14,369.58",2020-04-25
192,LON_080,"14,369.58",2020-05-28
193,LON_081,"11,666.88",2019-08-20
194,LON_081,"11,666.88",2019-09-20
195,LON_082,"38,960.07",2024-04-13
196,LON_082,"38,960.07",2024-05-09
197,LON_082,"38,960.07",2024-06-06
198,LON_085,"68,452.69",2024-12-09
199,LON_085,"68,452.69",2025-01-07
200,LON_085,"68,452.69",2025-02-06
201,LON_085,"68,452.69",2025-03-08
202,LON_086,"16,756.81",2021-09-09
203,LON_086,"17,068.10",2021-10-08
204,LON_086,"17,068.10",2021-11-06
205,LON_086,"17,068.10",2021-12-08
206,LON_086,"17,068.10",2022-01-06
207,LON_087,"12,017.57",2021-09-10
208,LON_087,"12,017.57",2021-10-08
209,LON_088,"11,383.72",2022-10-17
210,LON_089,"16,673.63",2025-08-18
211,LON_089,"16,673.63",2025-09-15
212,LON_089,"16,673.63",2025-10-13
