transaction_id,account_id,transaction_type,amount,transaction_date,payment_method
TRN_00001,ACC_3550,Transfers,17462.31,16-08-2024,Cash
TRN_00002,ACC_2459,Withdrawals,157225.79,11-03-2024,IMPS
TRN_00003,ACC_4914,Transfers,80655.85,01-03-2023,Debit Card
TRN_00004,ACC_3150,Deposits,177471.95,20-01-2023,Debit Card
TRN_00005,ACC_2272,Deposits,11726.54,27-03-2022,IMPS
TRN_00006,ACC_3554,Withdrawals,36511.99,27-03-2022,Cash
TRN_00007,ACC_334,Deposits,68825.57,05-06-2023,Cash
TRN_00008,ACC_5804,Deposits,76110.84,18-10-2024,Net Banking
TRN_00009,ACC_1719,Withdrawals,9573.84,11-10-2022,IMPS
TRN_00010,ACC_5605,Transfers,173013.86,09-02-2025,UPI
TRN_00011,ACC_4701,Interest Payment,81110.88,13-12-2023,IMPS
TRN_00012,ACC_4277,Deposits,24001.53,25-11-2023,Debit Card
TRN_00013,ACC_216,Deposits,132247.88,08-12-2025,Credit Card
TRN_00014,ACC_6487,Deposits,58369.52,20-10-2023,UPI
TRN_00015,ACC_3034,Transfers,134315.22,17-01-2022,IMPS
TRN_00016,ACC_6472,Deposits,101099.36,16-10-2022,Cash
TRN_00017,ACC_5542,Deposits,9418.98,22-08-2024,Cash
TRN_00018,ACC_6578,Deposits,133900.58,26-11-2022,Cash
TRN_00019,ACC_2918,Interest Payment,160335.66,29-03-2023,UPI
TRN_00020,ACC_1700,Withdrawals,186275.51,23-11-2025,UPI
TRN_00021,ACC_4286,Withdrawals,125317.17,28-06-2024,Cash
TRN_00022,ACC_7033,Withdrawals,11160.09,17-06-2022,Cash
TRN_00023,ACC_1862,Transfers,22727.04,27-01-2022,Credit Card
TRN_00024,ACC_4414,Deposits,198052.14,19-08-2024,Debit Card
TRN_00025,ACC_171,Interest Payment,36046.56,23-09-2024,Debit Card
TRN_00026,ACC_7890,Deposits,63898.2,25-03-2023,IMPS
TRN_00027,ACC_588,Interest Payment,169003.17,29-11-2023,Credit Card
TRN_00028,ACC_7181,Withdrawals,75097.82,15-05-2022,Cash
TRN_00029,ACC_7691,Transfers,58198.88,17-12-2024,UPI
TRN_00030,ACC_3062,Deposits,182764.64,16-01-2024,Debit Card
TRN_00031,ACC_2257,Transfers,18617.89,02-04-2025,Debit Card
TRN_00032,ACC_2624,Transfers,47656.06,06-08-2023,Credit Card
TRN_00033,ACC_3072,Interest Payment,119160.93,22-07-2023,IMPS
